Positive, Negative, Index
4,24,0.19704
5,23,0.23718
6,22,0.27639
7,21,0.31479
8,20,0.35263
9,19,0.39
10,18,0.42679
11,17,0.46308
12,16,0.49855
13,15,0.53466
14,14,0.57003
15,13,0.60492
16,12,0.63938
17,11,0.67336
18,10,0.70713
19,9,0.74033
20,8,0.77312
21,7,0.80535
22,6,0.837
23,5,0.86796
24,4,0.89807
25,3,0.9271
26,2,0.9546
27,1,0.97964
1,28,0.06268
2,27,0.10785
3,26,0.14955
4,25,0.18948
5,24,0.22823
6,23,0.26611
7,22,0.30331
8,21,0.33981
9,20,0.37608
10,19,0.41176
11,18,0.44697
12,17,0.48163
13,16,0.51618
14,15,0.55065
15,14,0.5846
16,13,0.61814
17,12,0.65126
18,11,0.6841
19,10,0.71659
20,9,0.74854
21,8,0.78024
22,7,0.81135
23,6,0.84192
24,5,0.87183
25,4,0.90097
26,3,0.92907
27,2,0.95574
28,1,0.98008
1,29,0.05998
2,28,0.10353
3,27,0.14378
4,26,0.18238
5,25,0.21986
6,24,0.25648
7,23,0.29254
8,22,0.32782
9,21,0.36303
10,20,0.3976
11,19,0.43183
12,18,0.46558
13,17,0.49867
14,16,0.53237
15,15,0.56543
16,14,0.59807
17,13,0.63041
18,12,0.66221
19,11,0.69406
20,10,0.72539
21,9,0.75631
22,8,0.78687
23,7,0.81695
24,6,0.84652
25,5,0.87547
26,4,0.90368
27,3,0.93093
28,2,0.95681
29,1,0.98049
1,30,0.05746
2,29,0.09949
3,28,0.13841
4,27,0.17575
5,26,0.21203
6,25,0.24744
7,24,0.28243
8,23,0.31678
9,22,0.35075
10,21,0.38438
11,20,0.41759
12,19,0.45041
13,18,0.48274
14,17,0.5151
15,16,0.54736
16,15,0.57919
17,14,0.61068
18,13,0.64183
19,12,0.67266
20,11,0.70335
21,10,0.73361
22,9,0.76352
23,8,0.79303
24,7,0.82219
25,6,0.8508
26,5,0.87888
27,4,0.90623
28,3,0.93267
29,2,0.95783
30,1,0.98088
1,31,0.05511
2,30,0.09573
3,29,0.1334
4,28,0.16952
5,27,0.20467
6,26,0.23908
7,25,0.27296
8,24,0.3063
9,23,0.33918
10,22,0.37188
11,21,0.40415
12,20,0.43609
13,19,0.46764
14,18,0.49869
15,17,0.53026
16,16,0.5613
17,15,0.59197
18,14,0.62241
19,13,0.65246
20,12,0.68239
21,11,0.71202
22,10,0.74125
23,9,0.77027
24,8,0.79886
25,7,0.82707
26,6,0.85485
27,5,0.88207
28,4,0.90863
29,3,0.93432
30,2,0.95878
31,1,0.98125
1,32,0.05293
2,31,0.09221
3,30,0.12868
4,29,0.16367
5,28,0.19773
6,27,0.23117
7,26,0.26403
8,25,0.29643
9,24,0.32825
10,23,0.36012
11,22,0.39147
12,21,0.42256
13,20,0.45331
14,19,0.48361
15,18,0.51405
16,17,0.54437
17,16,0.57432
18,15,0.60398
19,14,0.63339
20,13,0.66239
21,12,0.69148
22,11,0.72016
23,10,0.74848
24,9,0.77661
25,8,0.80434
26,7,0.8317
27,6,0.85865
28,5,0.88508
29,4,0.91088
30,3,0.93586
31,2,0.95969
32,1,0.9816
1,33,0.05088
2,32,0.0889
3,31,0.12424
4,30,0.15821
5,29,0.19127
6,28,0.22372
7,27,0.2556
8,26,0.28711
9,25,0.31815
10,24,0.34899
11,23,0.37955
12,22,0.40978
13,21,0.43974
14,20,0.46936
15,19,0.49861
16,18,0.52831
17,17,0.55755
18,16,0.5865
19,15,0.61522
20,14,0.64367
21,13,0.6719
22,12,0.70001
23,11,0.7278
24,10,0.75531
25,9,0.78256
26,8,0.80949
27,7,0.83607
28,6,0.86224
29,5,0.88792
30,4,0.91302
31,3,0.93733
32,2,0.96054
33,1,0.98193
1,34,0.04896
2,33,0.0858
3,32,0.12007
4,31,0.15305
5,30,0.18518
6,29,0.21668
7,28,0.24762
8,27,0.2783
9,26,0.30854
10,25,0.33845
11,24,0.36823
12,23,0.39766
13,22,0.42687
14,21,0.45579
15,20,0.48429
16,19,0.51304
17,18,0.54163
18,17,0.56991
19,16,0.59794
20,15,0.62578
21,14,0.65329
22,13,0.68079
23,12,0.70802
24,11,0.73498
25,10,0.76172
26,9,0.78817
27,8,0.81435
28,7,0.84017
29,6,0.86562
