Positive, Negative, Index
11,46,0.21777
12,45,0.23604
13,44,0.25434
14,43,0.27252
15,42,0.29062
16,41,0.30862
17,40,0.32662
18,39,0.34461
19,38,0.36251
20,37,0.38033
21,36,0.39814
22,35,0.41588
23,34,0.43357
24,33,0.45118
25,32,0.4687
26,31,0.48616
27,30,0.50388
28,29,0.52147
29,28,0.53897
30,27,0.55642
31,26,0.57382
32,25,0.59117
33,24,0.60848
34,23,0.62574
35,22,0.64289
36,21,0.6601
37,20,0.67728
38,19,0.69437
39,18,0.71141
40,17,0.72837
41,16,0.74532
42,15,0.76221
43,14,0.77902
44,13,0.79578
45,12,0.81247
46,11,0.82907
47,10,0.84559
48,9,0.86202
49,8,0.87835
50,7,0.89455
51,6,0.91061
52,5,0.92649
53,4,0.94215
54,3,0.9575
55,2,0.97242
56,1,0.9866
1,57,0.02444
2,56,0.04526
3,55,0.06508
4,54,0.08438
5,53,0.10335
6,52,0.12209
7,51,0.14065
8,50,0.15905
9,49,0.17734
10,48,0.19552
11,47,0.21361
12,46,0.23157
13,45,0.24954
14,44,0.2674
15,43,0.2852
16,42,0.30292
17,41,0.32055
18,40,0.33826
19,39,0.35587
20,38,0.37342
21,37,0.39091
22,36,0.40835
23,35,0.42575
24,34,0.4431
25,33,0.46037
26,32,0.47747
27,31,0.49485
28,30,0.51218
29,29,0.52942
30,28,0.54661
31,27,0.56373
32,26,0.58079
33,25,0.59786
34,24,0.61486
35,23,0.6318
36,22,0.64862
37,21,0.66558
38,20,0.68244
39,19,0.69924
40,18,0.71598
41,17,0.73262
42,16,0.74932
43,15,0.76592
44,14,0.78242
45,13,0.79892
46,12,0.81531
47,11,0.83165
48,10,0.8479
49,9,0.86406
50,8,0.88012
51,7,0.89606
52,6,0.91186
53,5,0.92749
54,4,0.94291
55,3,0.95803
56,2,0.97273
57,1,0.98673
1,58,0.02385
2,57,0.04425
3,56,0.06369
4,55,0.08264
5,54,0.10127
6,53,0.11967
7,52,0.1379
8,51,0.15597
9,50,0.17395
10,49,0.1918
11,48,0.20959
12,47,0.22726
13,46,0.24489
14,45,0.26247
15,44,0.27997
16,43,0.29739
17,42,0.31469
18,41,0.33212
19,40,0.34945
20,39,0.3667
21,38,0.3839
22,37,0.40108
23,36,0.4182
24,35,0.43526
25,34,0.45227
26,33,0.46918
27,32,0.48608
28,31,0.50318
29,30,0.52017
30,29,0.53709
31,28,0.55396
32,27,0.57078
33,26,0.58756
34,25,0.6043
35,24,0.621
36,23,0.63763
37,22,0.65422
38,21,0.67087
39,20,0.68743
40,19,0.70394
41,18,0.72039
42,17,0.73677
43,16,0.75317
44,15,0.76949
45,14,0.78572
46,13,0.80194
47,12,0.81806
48,11,0.83414
49,10,0.85013
50,9,0.86602
51,8,0.88183
52,7,0.89751
53,6,0.91307
54,5,0.92846
55,4,0.94364
56,3,0.95854
57,2,0.97303
58,1,0.98685
1,59,0.02328
2,58,0.04328
3,57,0.06236
4,56,0.08096
5,55,0.09925
6,54,0.11733
7,53,0.13524
8,52,0.15299
9,51,0.17066
10,50,0.1882
11,49,0.20569
12,48,0.22309
13,47,0.24039
14,46,0.25769
15,45,0.27489
16,44,0.29204
17,43,0.30908
18,42,0.32616
19,41,0.34322
20,40,0.36021
21,39,0.37713
22,38,0.39403
23,37,0.41087
24,36,0.42768
25,35,0.44443
26,34,0.46111
27,33,0.47763
28,32,0.49445
29,31,0.5112
30,30,0.52787
31,29,0.54449
32,28,0.56106
33,27,0.57757
34,26,0.59407
35,25,0.61053
36,24,0.62692
37,23,0.64323
38,22,0.65962
39,21,0.67597
40,20,0.69224
41,19,0.70847
42,18,0.72464
43,17,0.74078
44,16,0.75689
45,15,0.77294
46,14,0.78892
47,13,0.80486
48,12,0.82073
49,11,0.83654
50,10,0.85228
51,9,0.86792
52,8,0.88348
53,7,0.89892
54,6,0.91424
55,5,0.92939
56,4,0.94435
57,3,0.95904
58,2,0.97332
59,1,0.98697
1,60,0.02273
2,59,0.04234
3,58,0.06107
4,57,0.07934
5,56,0.09731
6,55,0.11507
7,54,0.13266
8,53,0.15012
9,52,0.16749
10,51,0.18472
11,50,0.20193
12,49,0.21903
13,48,0.23603
14,47,0.25306
15,46,0.26998
16,45,0.28686
17,44,0.30365
18,43,0.32039
19,42,0.3372
20,41,0.35391
21,40,0.37058
22,39,0.38719
23,38,0.40378
24,37,0.42032
25,36,0.43681
26,35,0.45325
27,34,0.46959
28,33,0.48596
29,32,0.5025
30,31,0.51893
31,30,0.5353
32,29,0.55162
33,28,0.56791
34,27,0.58414
35,26,0.60036
36,25,0.61653
37,24,0.63265
38,23,0.64868
39,22,0.66483
40,21,0.68089
41,20,0.69689
42,19,0.71285
43,18,0.72873
44,17,0.74465
45,16,0.76049
46,15,0.77627
47,14,0.792
48,13,0.80769
49,12,0.82331
50,11,0.83886
51,10,0.85436
52,9,0.86976
53,8,0.88507
54,7,0.90028
55,6,0.91536
56,5,0.9303
57,4,0.94503
58,3,0.95952
59,2,0.9736
60,1,0.98709
1,61,0.02219
2,60,0.04144
3,59,0.05983
4,58,0.07777
5,57,0.09543
6,56,0.11288
7,55,0.13017
8,54,0.14735
9,53,0.16442
10,52,0.18137
11,51,0.19829
12,50,0.21511
13,49,0.23182
14,48,0.24857
15,47,0.26523
16,46,0.28183
17,45,0.29837
18,44,0.31479
19,43,0.33135
20,42,0.34782
21,41,0.36422
22,40,0.38056
23,39,0.39691
24,38,0.41319
25,37,0.42944
26,36,0.44563
27,35,0.46177
28,34,0.47776
29,33,0.49404
30,32,0.51025
31,31,0.52639
32,30,0.54247
33,29,0.55852
34,28,0.57451
35,27,0.5905
36,26,0.60643
37,25,0.62233
38,24,0.63816
39,23,0.654
40,22,0.66986
41,21,0.68565
42,20,0.70139
43,19,0.71709
44,18,0.73271
45,17,0.74838
46,16,0.76397
47,15,0.77948
48,14,0.79499
49,13,0.81042
50,12,0.8258
51,11,0.84111
52,10,0.85636
53,9,0.87154
54,8,0.88661
55,7,0.9016
56,6,0.91646
57,5,0.93118
58,4,0.94569
59,3,0.95999
60,2,0.97387
61,1,0.98721
1,62,0.02168
2,61,0.04056
3,60,0.05862
4,59,0.07625
5,58,0.09361
6,57,0.11076
7,56,0.12776
8,55,0.14466
9,54,0.16144
10,53,0.17813
11,52,0.19476
12,51,0.21131
13,50,0.22777
14,49,0.24423
15,48,0.26063
16,47,0.27696
17,46,0.29324
18,45,0.30943
19,44,0.32568
20,43,0.3419
21,42,0.35806
22,41,0.37416
23,40,0.39024
24,39,0.40627
25,38,0.42228
26,37,0.43824
27,36,0.45414
28,35,0.46994
29,34,0.48582
30,33,0.50182
31,32,0.51773
32,31,0.53359
33,30,0.54939
34,29,0.56518
35,28,0.5809
36,27,0.59663
37,26,0.6123
38,25,0.62794
39,24,0.64348
40,23,0.65912
41,22,0.67472
42,21,0.69025
43,20,0.70574
44,19,0.72118
45,18,0.73659
46,17,0.75199
47,16,0.76733
48,15,0.7826
49,14,0.79787
50,13,0.81306
51,12,0.82821
52,11,0.84329
53,10,0.85831
54,9,0.87325
55,8,0.88811
56,7,0.90287
57,6,0.91752
58,5,0.93202
59,4,0.94634
60,3,0.96044
61,2,0.97413
62,1,0.98732
1,63,0.02119
2,62,0.03972
3,61,0.05746
4,60,0.07478
5,59,0.09184
6,58,0.10871
7,57,0.12544
8,56,0.14205
9,55,0.15855
10,54,0.17498
11,53,0.19133
12,52,0.20762
13,51,0.22384
14,50,0.24001
15,49,0.25616
16,48,0.27224
17,47,0.28828
18,46,0.30423
19,45,0.32018
20,44,0.33616
21,43,0.35207
22,42,0.36795
23,41,0.38376
24,40,0.39957
25,39,0.41533
26,38,0.43105
27,37,0.44673
28,36,0.46235
29,35,0.47785
30,34,0.49363
31,33,0.50933
32,32,0.52496
33,31,0.54055
34,30,0.5561
35,29,0.57161
36,28,0.5871
37,27,0.60256
38,26,0.61798
39,25,0.63336
40,24,0.64867
41,23,0.66408
42,22,0.67941
43,21,0.69469
44,20,0.70995
45,19,0.72513
46,18,0.74033
47,17,0.75548
48,16,0.77059
49,15,0.78563
50,14,0.80066
51,13,0.81561
52,12,0.83055
53,11,0.8454
54,10,0.86019
55,9,0.87492
56,8,0.88956
57,7,0.90411
58,6,0.91854
59,5,0.93285
60,4,0.94696
61,3,0.96087
62,2,0.97438
63,1,0.98743
1,64,0.02071
2,63,0.0389
3,62,0.05633
4,61,0.07336
5,60,0.09013
6,59,0.10673
7,58,0.12318
8,57,0.13952
9,56,0.15576
10,55,0.17193
11,54,0.18801
12,53,0.20405
13,52,0.22002
14,51,0.23592
15,50,0.25183
16,49,0.26766
17,48,0.28345
18,47,0.29919
19,46,0.31483
20,45,0.33059
21,44,0.34627
22,43,0.3619
23,42,0.37747
24,41,0.39306
25,40,0.40858
26,39,0.42408
27,38,0.43954
28,37,0.45495
29,36,0.47024
30,35,0.48566
31,34,0.50116
32,33,0.51658
33,32,0.53195
34,31,0.54728
35,30,0.56258
36,29,0.57783
37,28,0.59309
38,27,0.6083
39,26,0.62347
40,25,0.63858
41,24,0.65372
42,23,0.66887
43,22,0.68396
44,21,0.69901
45,20,0.71402
46,19,0.72896
47,18,0.74394
48,17,0.75886
49,16,0.77373
50,15,0.78857
51,14,0.80337
52,13,0.8181
53,12,0.83281
54,11,0.84744
55,10,0.86202
56,9,0.87653
57,8,0.89097
58,7,0.9053
59,6,0.91954
60,5,0.93364
61,4,0.94757
62,3,0.96129
63,2,0.97463
64,1,0.98753
1,65,0.02025
2,64,0.03811
3,63,0.05523
4,62,0.07197
5,61,0.08847
6,60,0.1048
7,59,0.12099
8,58,0.13706
9,57,0.15304
10,56,0.16896
11,55,0.18478
12,54,0.20058
13,53,0.21631
14,52,0.23194
15,51,0.24762
16,50,0.26321
17,49,0.27876
18,48,0.29427
19,47,0.30967
20,46,0.32518
21,45,0.34063
22,44,0.35604
23,43,0.37139
24,42,0.38673
25,41,0.40203
26,40,0.41731
27,39,0.43254
28,38,0.44773
29,37,0.46286
30,36,0.4779
31,35,0.49321
32,34,0.50843
33,33,0.52359
34,32,0.53871
35,31,0.5538
36,30,0.56885
37,29,0.58388
38,28,0.59889
39,27,0.61386
40,26,0.62879
41,25,0.64364
42,24,0.65861
43,23,0.67351
44,22,0.68836
45,21,0.70318
46,20,0.71796
47,19,0.73269
48,18,0.74744
49,17,0.76214
50,16,0.77678
51,15,0.79141
52,14,0.80599
53,13,0.82051
54,12,0.83499
55,11,0.84942
56,10,0.86379
57,9,0.8781
58,8,0.89233
59,7,0.90646
60,6,0.9205
61,5,0.93441
62,4,0.94816
63,3,0.96169
64,2,0.97487
65,1,0.98764
1,66,0.0198
2,65,0.03734
3,64,0.05417
4,63,0.07064
5,62,0.08687
6,61,0.10293
7,60,0.11886
8,59,0.13469
9,58,0.1504
10,57,0.16608
11,56,0.18165
12,55,0.19722
13,54,0.2127
14,53,0.2281
15,52,0.24353
16,51,0.2589
17,50,0.27422
18,49,0.28949
19,48,0.30469
20,47,0.31992
21,46,0.33516
22,45,0.35034
23,44,0.36548
24,43,0.38057
25,42,0.39567
26,41,0.41072
27,40,0.42574
28,39,0.44072
29,38,0.45567
30,37,0.47049
31,36,0.48547
32,35,0.5005
33,34,0.51546
34,33,0.53038
35,32,0.54525
36,31,0.56011
37,30,0.57491
38,29,0.58973
39,28,0.6045
40,27,0.61924
41,26,0.63393
42,25,0.6486
43,24,0.66333
44,23,0.678
45,22,0.69262
46,21,0.70722
47,20,0.72177
48,19,0.73631
49,18,0.75084
50,17,0.76532
51,16,0.77973
52,15,0.79416
53,14,0.80852
54,13,0.82284
55,12,0.83711
56,11,0.85134
57,10,0.86551
58,9,0.87961
59,8,0.89364
60,7,0.90758
61,6,0.92144
62,5,0.93515
63,4,0.94873
64,3,0.96209
65,2,0.9751
66,1,0.98774
1,67,0.01937
2,66,0.0366
3,65,0.05315
4,64,0.06934
5,63,0.08531
6,62,0.10111
7,61,0.11679
8,60,0.13237
9,59,0.14785
10,58,0.16329
11,57,0.17863
12,56,0.19395
13,55,0.2092
14,54,0.22438
15,53,0.23956
16,52,0.25471
17,51,0.2698
18,50,0.28485
19,49,0.29985
20,48,0.3148
21,47,0.32984
22,46,0.3448
23,45,0.35972
24,44,0.3746
25,43,0.38948
26,42,0.40431
27,41,0.41913
28,40,0.43391
29,39,0.44864
30,38,0.46331
31,37,0.47793
32,36,0.49279
33,35,0.50755
34,34,0.52227
35,33,0.53695
36,32,0.5516
37,31,0.56622
38,30,0.58081
39,29,0.59539
40,28,0.60994
41,27,0.62446
42,26,0.63889
43,25,0.65341
44,24,0.6679
45,23,0.68235
46,22,0.69676
47,21,0.71114
48,20,0.72546
49,19,0.73982
50,18,0.75413
51,17,0.7684
52,16,0.78261
53,15,0.79682
54,14,0.81098
55,13,0.8251
56,12,0.83917
57,11,0.8532
58,10,0.86717
59,9,0.88108
60,8,0.89492
61,7,0.90868
62,6,0.92234
63,5,0.93588
64,4,0.94928
65,3,0.96246
66,2,0.97532
67,1,0.98783
1,68,0.01895
2,67,0.03588
3,66,0.05215
4,65,0.06808
5,64,0.0838
6,63,0.09935
7,62,0.11479
8,61,0.13012
9,60,0.14538
10,59,0.16057
11,58,0.17569
12,57,0.19077
13,56,0.2058
14,55,0.22077
15,54,0.2357
16,53,0.25063
17,52,0.2655
18,51,0.28034
19,50,0.29514
20,49,0.30984
21,48,0.32466
22,47,0.33941
23,46,0.35413
24,45,0.3688
25,44,0.38346
26,43,0.39809
27,42,0.4127
28,41,0.42727
29,40,0.44181
30,39,0.45631
31,38,0.4707
32,37,0.48527
33,36,0.49985
34,35,0.51438
35,34,0.52886
36,33,0.54331
37,32,0.55774
38,31,0.57213
39,30,0.58653
40,29,0.60088
41,28,0.61521
42,27,0.6295
43,26,0.64373
44,25,0.65806
45,24,0.67234
46,23,0.68657
47,22,0.70077
48,21,0.71495
49,20,0.72905
50,19,0.74322
51,18,0.75732
52,17,0.77138
53,16,0.7854
54,15,0.79941
55,14,0.81336
56,13,0.82729
57,12,0.84117
58,11,0.855
59,10,0.86878
60,9,0.88251
61,8,0.89616
62,7,0.90974
63,6,0.92322
64,5,0.93658
65,4,0.94982
66,3,0.96283
67,2,0.97554
68,1,0.98793
1,69,0.01855
2,68,0.03517
3,67,0.05118
4,66,0.06686
5,65,0.08233
6,64,0.09764
7,63,0.11284
8,62,0.12794
9,61,0.14297
10,60,0.15793
11,59,0.17283
12,58,0.18768
13,57,0.20249
14,56,0.21725
15,55,0.23194
16,54,0.24667
17,53,0.26132
18,52,0.27595
19,51,0.29054
20,50,0.30505
21,49,0.31962
22,48,0.33417
23,47,0.34868
24,46,0.36316
25,45,0.37759
26,44,0.39204
27,43,0.40643
28,42,0.42081
29,41,0.43516
30,40,0.44947
31,39,0.4637
32,38,0.47793
33,37,0.49235
34,36,0.50669
35,35,0.52099
36,34,0.53526
37,33,0.54949
38,32,0.5637
39,31,0.57788
40,30,0.59206
41,29,0.60621
42,28,0.62032
43,27,0.63438
44,26,0.64846
45,25,0.66258
46,24,0.67663
47,23,0.69066
48,22,0.70466
49,21,0.71862
50,20,0.73256
51,19,0.74651
52,18,0.76041
53,17,0.77426
54,16,0.78811
55,15,0.80192
56,14,0.81568
57,13,0.82942
58,12,0.84311
59,11,0.85675
60,10,0.87035
61,9,0.88389
62,8,0.89736
63,7,0.91076
64,6,0.92407
65,5,0.93726
66,4,0.95033
67,3,0.96319
68,2,0.97575
69,1,0.98802
1,70,0.01815
2,69,0.03449
3,68,0.05024
4,67,0.06567
5,66,0.0809
6,65,0.09597
7,64,0.11094
8,63,0.12582
9,62,0.14063
10,61,0.15537
11,60,0.17005
12,59,0.18467
13,58,0.19927
14,57,0.21382
15,56,0.22829
16,55,0.24281
17,54,0.25726
18,53,0.27168
19,52,0.28606
20,51,0.30039
21,50,0.31471
22,49,0.32907
23,48,0.34339
24,47,0.35766
25,46,0.3719
26,45,0.38614
27,44,0.40034
28,43,0.41452
29,42,0.42868
30,41,0.4428
31,40,0.45687
32,39,0.47086
33,38,0.48504
34,37,0.49921
35,36,0.51332
36,35,0.5274
37,34,0.54145
38,33,0.55548
39,32,0.56947
40,31,0.58346
41,30,0.59743
42,29,0.61137
43,28,0.62528
44,27,0.63912
45,26,0.65305
46,25,0.66695
47,24,0.68081
48,23,0.69463
49,22,0.70844
50,21,0.72219
51,20,0.73596
52,19,0.74971
53,18,0.76342
54,17,0.77707
55,16,0.79074
56,15,0.80436
57,14,0.81794
58,13,0.83149
59,12,0.84499
60,11,0.85845
61,10,0.87187
62,9,0.88523
63,8,0.89853
64,7,0.91176
65,6,0.92489
66,5,0.93792
67,4,0.95084
68,3,0.96353
69,2,0.97595
70,1,0.98811
1,71,0.01777
2,70,0.03383
3,69,0.04932
4,68,0.06451
5,67,0.07951
6,66,0.09436
7,65,0.1091
8,64,0.12375
9,63,0.13835
10,62,0.15287
11,61,0.16734
12,60,0.18174
13,59,0.19614
14,58,0.21048
15,57,0.22475
16,56,0.23905
17,55,0.25331
18,54,0.26752
19,53,0.2817
20,52,0.29585
21,51,0.30992
22,50,0.3241
23,49,0.33822
24,48,0.35231
25,47,0.36636
26,46,0.38039
27,45,0.39441
28,44,0.4084
29,43,0.42237
30,42,0.4363
31,41,0.45021
32,40,0.46403
33,39,0.4779
34,38,0.49191
35,37,0.50585
36,36,0.51975
37,35,0.53362
38,34,0.54746
39,33,0.56129
40,32,0.57508
41,31,0.58888
42,30,0.60264
43,29,0.61638
44,28,0.63008
45,27,0.64375
46,26,0.6575
47,25,0.67119
48,24,0.68485
49,23,0.69849
50,22,0.7121
51,21,0.72565
52,20,0.73926
53,19,0.75281
54,18,0.76633
55,17,0.7798
56,16,0.79329
57,15,0.80672
58,14,0.82012
59,13,0.83349
60,12,0.84682
61,11,0.86011
62,10,0.87335
63,9,0.88654
64,8,0.89966
65,7,0.91273
66,6,0.92569
67,5,0.93857
68,4,0.95132
69,3,0.96386
70,2,0.97615
71,1,0.9882
1,72,0.01739
2,71,0.03318
3,70,0.04844
4,69,0.06339
5,68,0.07816
6,67,0.09278
7,66,0.10731
8,65,0.12175
9,64,0.13613
10,63,0.15043
11,62,0.1647
12,61,0.17889
13,60,0.1931
14,59,0.20723
15,58,0.22131
16,57,0.23539
17,56,0.24946
18,55,0.26347
19,54,0.27746
20,53,0.29142
21,52,0.3053
22,51,0.31926
23,50,0.3332
24,49,0.34709
25,48,0.36096
26,47,0.37479
27,46,0.38863
28,45,0.40243
29,44,0.41621
30,43,0.42997
31,42,0.4437
32,41,0.45737
33,40,0.47098
34,39,0.48478
35,38,0.49856
36,37,0.51229
37,36,0.52598
38,35,0.53965
39,34,0.5533
40,33,0.56692
41,32,0.58054
42,31,0.59413
43,30,0.6077
44,29,0.62125
45,28,0.63473
46,27,0.64827
47,26,0.66181
48,25,0.67531
49,24,0.68878
50,23,0.70223
51,22,0.71565
52,21,0.72904
53,20,0.74245
54,19,0.75582
55,18,0.76915
56,17,0.78247
57,16,0.79576
58,15,0.80901
59,14,0.82225
60,13,0.83543
61,12,0.8486
62,11,0.86171
63,10,0.87478
64,9,0.8878
65,8,0.90077
66,7,0.91366
67,6,0.92647
68,5,0.9392
69,4,0.95179
70,3,0.96418
71,2,0.97635
72,1,0.98829
1,73,0.01703
2,72,0.03256
3,71,0.04757
4,70,0.06229
5,69,0.07684
6,68,0.09125
7,67,0.10556
8,66,0.1198
9,65,0.13396
10,64,0.14806
11,63,0.16213
12,62,0.17613
13,61,0.19012
14,60,0.20407
15,59,0.21796
16,58,0.23183
17,57,0.2457
18,56,0.25953
19,55,0.27333
20,54,0.2871
21,53,0.3008
22,52,0.31454
23,51,0.3283
24,50,0.34201
25,49,0.35569
26,48,0.36934
27,47,0.383
28,46,0.39662
29,45,0.41022
30,44,0.4238
31,43,0.43735
32,42,0.45087
33,41,0.46431
34,40,0.47783
35,39,0.49145
36,38,0.50501
37,37,0.51854
38,36,0.53204
39,35,0.54551
40,34,0.55897
41,33,0.57239
42,32,0.58583
43,31,0.59923
44,30,0.61261
45,29,0.62596
46,28,0.63926
47,27,0.65265
48,26,0.666
49,25,0.67931
50,24,0.6926
51,23,0.70587
52,22,0.7191
53,21,0.73233
54,20,0.74556
55,19,0.75875
56,18,0.7719
57,17,0.78505
58,16,0.79817
59,15,0.81124
60,14,0.82431
61,13,0.83732
62,12,0.85032
63,11,0.86327
64,10,0.87617
65,9,0.88903
66,8,0.90184
67,7,0.91457
68,6,0.92723
69,5,0.9398
70,4,0.95225
71,3,0.96449
72,2,0.97654
73,1,0.98837
1,74,0.01668
2,73,0.03195
3,72,0.04673
4,71,0.06123
5,70,0.07555
6,69,0.08976
7,68,0.10386
8,67,0.11789
9,66,0.13186
10,65,0.14576
11,64,0.15963
12,63,0.17344
13,62,0.18723
14,61,0.20098
15,60,0.21469
16,59,0.22835
17,58,0.24205
18,57,0.25569
19,56,0.2693
20,55,0.28288
21,54,0.29642
22,53,0.30994
23,52,0.32352
24,51,0.33706
25,50,0.35056
26,49,0.36404
27,48,0.3775
28,47,0.39095
29,46,0.40437
30,45,0.41778
31,44,0.43116
32,43,0.44452
33,42,0.45781
34,41,0.47106
35,40,0.48451
36,39,0.49791
37,38,0.51127
38,37,0.5246
39,36,0.53791
40,35,0.5512
41,34,0.56447
42,33,0.57772
43,32,0.59097
44,31,0.60419
45,30,0.61739
46,29,0.63053
47,28,0.6437
48,27,0.6569
49,26,0.67006
50,25,0.6832
51,24,0.69631
52,23,0.70941
53,22,0.72245
54,21,0.73553
55,20,0.74857
56,19,0.76159
57,18,0.77457
58,17,0.78755
59,16,0.8005
60,15,0.81341
61,14,0.82631
62,13,0.83916
63,12,0.85199
64,11,0.86478
65,10,0.87752
66,9,0.89023
67,8,0.90288
68,7,0.91545
69,6,0.92796
70,5,0.94039
71,4,0.95269
72,3,0.9648
73,2,0.97672
74,1,0.98845
1,75,0.01633
2,74,0.03136
3,73,0.04591
4,72,0.06019
5,71,0.0743
6,70,0.0883
7,69,0.10221
8,68,0.11604
9,67,0.1298
10,66,0.14351
11,65,0.15719
12,64,0.17081
13,63,0.18441
14,62,0.19797
15,61,0.2115
16,60,0.22497
17,59,0.23848
18,58,0.25194
19,57,0.26537
20,56,0.27877
21,55,0.29215
22,54,0.30546
23,53,0.31886
24,52,0.33222
25,51,0.34555
26,50,0.35886
27,49,0.37213
28,48,0.38542
29,47,0.39867
30,46,0.4119
31,45,0.42512
32,44,0.43831
33,43,0.45146
34,42,0.46454
35,41,0.47773
36,40,0.49098
37,39,0.50418
38,38,0.51736
39,37,0.5305
40,36,0.54362
41,35,0.55674
42,34,0.56981
43,33,0.5829
44,32,0.59596
45,31,0.609
46,30,0.62202
47,29,0.63498
48,28,0.64801
49,27,0.66103
50,26,0.67402
51,25,0.68697
52,24,0.69992
53,23,0.71283
54,22,0.72572
55,21,0.73863
56,20,0.75151
57,19,0.76436
58,18,0.77717
59,17,0.78999
60,16,0.80277
61,15,0.81552
62,14,0.82825
63,13,0.84095
64,12,0.85362
65,11,0.86625
66,10,0.87884
67,9,0.89139
68,8,0.90388
69,7,0.91631
70,6,0.92868
71,5,0.94096
72,4,0.95311
73,3,0.96509
74,2,0.9769
75,1,0.98853
1,76,0.01599
2,75,0.03078
3,74,0.04511
4,73,0.05918
5,72,0.07309
6,71,0.08689
7,70,0.10059
8,69,0.11423
9,68,0.1278
10,67,0.14132
11,66,0.15481
12,65,0.16825
13,64,0.18165
14,63,0.19504
15,62,0.20839
16,61,0.22168
17,60,0.235
18,59,0.24828
19,58,0.26153
20,57,0.27477
21,56,0.28797
22,55,0.30111
23,54,0.31432
24,53,0.32751
25,52,0.34067
26,51,0.35381
27,50,0.36691
28,49,0.38002
29,48,0.39311
30,47,0.40617
31,46,0.41922
32,45,0.43224
33,44,0.44525
34,43,0.45818
35,42,0.47111
36,41,0.48421
37,40,0.49726
38,39,0.51028
39,38,0.52326
40,37,0.53623
41,36,0.54918
42,35,0.5621
43,34,0.57502
44,33,0.58793
45,32,0.60081
46,31,0.61368
47,30,0.62651
48,29,0.63932
49,28,0.6522
50,27,0.66505
51,26,0.67786
52,25,0.69065
53,24,0.70343
54,23,0.71616
55,22,0.72891
56,21,0.74165
57,20,0.75436
58,19,0.76704
59,18,0.7797
60,17,0.79236
61,16,0.80497
62,15,0.81757
63,14,0.83014
64,13,0.84269
65,12,0.8552
66,11,0.86767
67,10,0.88012
68,9,0.89252
69,8,0.90486
70,7,0.91714
71,6,0.92937
72,5,0.94152
73,4,0.95352
74,3,0.96537
75,2,0.97707
76,1,0.98861
1,77,0.01567
2,76,0.03022
3,75,0.04432
4,74,0.05819
5,73,0.0719
6,72,0.0855
7,71,0.09901
8,70,0.11246
9,69,0.12585
10,68,0.13918
11,67,0.15249
12,66,0.16575
13,65,0.17896
14,64,0.19218
15,63,0.20535
16,62,0.21847
17,61,0.2316
18,60,0.24471
19,59,0.25779
20,58,0.27085
21,57,0.28389
22,56,0.29687
23,55,0.30987
24,54,0.32291
25,53,0.3359
26,52,0.34887
27,51,0.36182
28,50,0.37475
29,49,0.38768
30,48,0.40058
31,47,0.41347
32,46,0.42633
33,45,0.43918
34,44,0.45197
35,43,0.46472
36,42,0.4776
37,41,0.4905
38,40,0.50336
39,39,0.5162
40,38,0.52901
41,37,0.54179
42,36,0.55457
43,35,0.56732
44,34,0.58008
45,33,0.59281
46,32,0.60553
47,31,0.61823
48,30,0.63088
49,29,0.64357
50,28,0.65628
51,27,0.66894
52,26,0.68159
53,25,0.69422
54,24,0.70683
55,23,0.7194
56,22,0.732
57,21,0.74458
58,20,0.75713
59,19,0.76964
60,18,0.78216
61,17,0.79466
62,16,0.80711
63,15,0.81957
64,14,0.83198
65,13,0.84438
66,12,0.85674
67,11,0.86907
68,10,0.88136
69,9,0.89361
70,8,0.90581
71,7,0.91796
72,6,0.93005
73,5,0.94205
74,4,0.95392
75,3,0.96565
76,2,0.97724
77,1,0.98869
1,78,0.01535
2,77,0.02967
3,76,0.04356
4,75,0.05723
5,74,0.07074
6,73,0.08415
7,72,0.09748
8,71,0.11073
9,70,0.12394
10,69,0.1371
11,68,0.15022
12,67,0.16331
13,66,0.17634
14,65,0.18938
15,64,0.20238
16,63,0.21534
17,62,0.22828
18,61,0.24123
19,60,0.25414
20,59,0.26704
21,58,0.27991
22,57,0.29273
23,56,0.30553
24,55,0.31841
25,54,0.33125
26,53,0.34405
27,52,0.35684
28,51,0.3696
29,50,0.38237
30,49,0.39511
31,48,0.40784
32,47,0.42055
33,46,0.43324
34,45,0.4459
35,44,0.4585
36,43,0.47113
37,42,0.48389
38,41,0.49661
39,40,0.50929
40,39,0.52194
41,38,0.53458
42,37,0.54721
43,36,0.55982
44,35,0.57241
45,34,0.585
46,33,0.59757
47,32,0.61012
48,31,0.62264
49,30,0.63513
50,29,0.6477
51,28,0.66023
52,27,0.67274
53,26,0.68522
54,25,0.6977
55,24,0.71014
56,23,0.72256
57,22,0.73501
58,21,0.74743
59,20,0.75982
60,19,0.77218
61,18,0.78456
62,17,0.79689
63,16,0.8092
64,15,0.82151
65,14,0.83377
66,13,0.84602
67,12,0.85823
68,11,0.87042
69,10,0.88257
70,9,0.89467
71,8,0.90673
72,7,0.91875
73,6,0.9307
74,5,0.94256
75,4,0.9543
76,3,0.96592
77,2,0.97741
78,1,0.98877
1,79,0.01503
2,78,0.02914
3,77,0.04281
4,76,0.05629
5,75,0.06961
6,74,0.08283
7,73,0.09597
8,72,0.10905
9,71,0.12207
10,70,0.13506
11,69,0.148
12,68,0.16092
13,67,0.17378
14,66,0.18665
15,65,0.19948
16,64,0.21228
17,63,0.22504
18,62,0.23783
19,61,0.25058
20,60,0.26331
21,59,0.27601
22,58,0.28869
23,57,0.30131
24,56,0.31402
