Time,Positive,Negative,Value
11,1,2,-6.04552
11,2,1,-6.04552
11,1,3,-5.15148
11,2,2,-5.15148
11,3,1,-5.15148
11,1,4,-4.37723
11,2,3,-4.37723
11,3,2,-4.37723
11,4,1,-4.37723
11,1,5,-3.68471
11,2,4,-3.68471
11,3,3,-3.68471
11,4,2,-3.68471
11,5,1,-3.68471
11,1,6,-3.05253
11,2,5,-3.05253
11,3,4,-3.05253
11,4,3,-3.05253
11,5,2,-3.05253
11,6,1,-3.05253
11,1,7,-2.46725
11,2,6,-2.46725
11,3,5,-2.46725
11,4,4,-2.46725
11,5,3,-2.46725
11,6,2,-2.46725
11,7,1,-2.46725
11,1,8,-1.91977
11,2,7,-1.91977
11,3,6,-1.91977
11,4,5,-1.91977
11,5,4,-1.91977
11,6,3,-1.91977
11,7,2,-1.91977
11,8,1,-1.91977
11,1,9,-1.4036
11,2,8,-1.4036
11,3,7,-1.4036
11,4,6,-1.4036
11,5,5,-1.4036
11,6,4,-1.4036
11,7,3,-1.4036
11,8,2,-1.4036
11,9,1,-1.4036
11,1,10,-0.913912
11,2,9,-0.913912
11,3,8,-0.913912
11,4,7,-0.913912
11,5,6,-0.913912
11,6,5,-0.913912
11,7,4,-0.913912
11,8,3,-0.913912
11,9,2,-0.913912
11,10,1,-0.913912
11,1,11,-0.447017
11,2,10,-0.447017
11,3,9,-0.447017
11,4,8,-0.447017
11,5,7,-0.447017
11,6,6,-0.447017
11,7,5,-0.447017
11,8,4,-0.447017
11,9,3,-0.447017
11,10,2,-0.447017
11,11,1,-0.447017
11,1,12,0
11,2,11,0
11,3,10,0
11,4,9,0
11,5,8,0
11,6,7,0
11,7,6,0
11,8,5,0
11,9,4,0
11,10,3,0
11,11,2,0
11,12,1,0
12,1,1,-7.70608
12,1,2,-6.59143
12,2,1,-6.59143
12,1,3,-5.68132
12,2,2,-5.68132
12,3,1,-5.68132
12,1,4,-4.89314
12,2,3,-4.89314
12,3,2,-4.89314
12,4,1,-4.89314
12,1,5,-4.18817
12,2,4,-4.18817
12,3,3,-4.18817
12,4,2,-4.18817
12,5,1,-4.18817
12,1,6,-3.54462
12,2,5,-3.54462
12,3,4,-3.54462
12,4,3,-3.54462
12,5,2,-3.54462
12,6,1,-3.54462
12,1,7,-2.94882
12,2,6,-2.94882
12,3,5,-2.94882
12,4,4,-2.94882
12,5,3,-2.94882
12,6,2,-2.94882
12,7,1,-2.94882
12,1,8,-2.39149
12,2,7,-2.39149
12,3,6,-2.39149
12,4,5,-2.39149
12,5,4,-2.39149
12,6,3,-2.39149
12,7,2,-2.39149
12,8,1,-2.39149
12,1,9,-1.86604
12,2,8,-1.86604
12,3,7,-1.86604
12,4,6,-1.86604
12,5,5,-1.86604
12,6,4,-1.86604
12,7,3,-1.86604
12,8,2,-1.86604
12,9,1,-1.86604
12,1,10,-1.36755
12,2,9,-1.36755
12,3,8,-1.36755
12,4,7,-1.36755
12,5,6,-1.36755
12,6,5,-1.36755
12,7,4,-1.36755
12,8,3,-1.36755
12,9,2,-1.36755
12,10,1,-1.36755
12,1,11,-0.892259
12,2,10,-0.892259
12,3,9,-0.892259
12,4,8,-0.892259
12,5,7,-0.892259
12,6,6,-0.892259
12,7,5,-0.892259
12,8,4,-0.892259
12,9,3,-0.892259
12,10,2,-0.892259
12,11,1,-0.892259
12,1,12,-0.437203
12,2,11,-0.437203
12,3,10,-0.437203
12,4,9,-0.437203
12,5,8,-0.437203
12,6,7,-0.437203
12,7,6,-0.437203
12,8,5,-0.437203
12,9,4,-0.437203
12,10,3,-0.437203
12,11,2,-0.437203
12,12,1,-0.437203
12,1,13,0
12,2,12,0
12,3,11,0
12,4,10,0
12,5,9,0
12,6,8,0
12,7,7,0
12,8,6,0
12,9,5,0
12,10,4,0
12,11,3,0
12,12,2,0
12,13,1,0
13,1,1,-8.25724
13,1,2,-7.12478
13,2,1,-7.12478
13,1,3,-6.20013
13,2,2,-6.20013
13,3,1,-6.20013
13,1,4,-5.39935
13,2,3,-5.39935
13,3,2,-5.39935
13,4,1,-5.39935
13,1,5,-4.68312
13,2,4,-4.68312
13,3,3,-4.68312
13,4,2,-4.68312
13,5,1,-4.68312
13,1,6,-4.02929
13,2,5,-4.02929
13,3,4,-4.02929
13,4,3,-4.02929
13,5,2,-4.02929
13,6,1,-4.02929
13,1,7,-3.42396
13,2,6,-3.42396
13,3,5,-3.42396
13,4,4,-3.42396
13,5,3,-3.42396
13,6,2,-3.42396
13,7,1,-3.42396
13,1,8,-2.85773
13,2,7,-2.85773
13,3,6,-2.85773
13,4,5,-2.85773
13,5,4,-2.85773
13,6,3,-2.85773
13,7,2,-2.85773
13,8,1,-2.85773
13,1,9,-2.32388
13,2,8,-2.32388
13,3,7,-2.32388
13,4,6,-2.32388
13,5,5,-2.32388
13,6,4,-2.32388
13,7,3,-2.32388
13,8,2,-2.32388
13,9,1,-2.32388
13,1,10,-1.81743
13,2,9,-1.81743
13,3,8,-1.81743
13,4,7,-1.81743
13,5,6,-1.81743
13,6,5,-1.81743
13,7,4,-1.81743
13,8,3,-1.81743
13,9,2,-1.81743
13,10,1,-1.81743
13,1,11,-1.33455
13,2,10,-1.33455
13,3,9,-1.33455
13,4,8,-1.33455
13,5,7,-1.33455
13,6,6,-1.33455
13,7,5,-1.33455
13,8,4,-1.33455
13,9,3,-1.33455
13,10,2,-1.33455
13,11,1,-1.33455
13,1,12,-0.87222
13,2,11,-0.87222
13,3,10,-0.87222
13,4,9,-0.87222
13,5,8,-0.87222
13,6,7,-0.87222
13,7,6,-0.87222
13,8,5,-0.87222
13,9,4,-0.87222
13,10,3,-0.87222
13,11,2,-0.87222
13,12,1,-0.87222
13,1,13,-0.428031
13,2,12,-0.428031
13,3,11,-0.428031
13,4,10,-0.428031
13,5,9,-0.428031
13,6,8,-0.428031
13,7,7,-0.428031
13,8,6,-0.428031
13,9,5,-0.428031
13,10,4,-0.428031
13,11,3,-0.428031
13,12,2,-0.428031
13,13,1,-0.428031
13,1,14,0
13,2,13,0
13,3,12,0
13,4,11,0
13,5,10,0
13,6,9,0
13,7,8,0
13,8,7,0
13,9,6,0
13,10,5,0
13,11,4,0
13,12,3,0
13,13,2,0
13,14,1,0
14,1,1,-8.79513
14,1,2,-7.64642
14,2,1,-7.64642
14,1,3,-6.70851
14,2,2,-6.70851
14,3,1,-6.70851
14,1,4,-5.89625
14,2,3,-5.89625
14,3,2,-5.89625
14,4,1,-5.89625
14,1,5,-5.16974
14,2,4,-5.16974
14,3,3,-5.16974
14,4,2,-5.16974
14,5,1,-5.16974
14,1,6,-4.50653
14,2,5,-4.50653
14,3,4,-4.50653
14,4,3,-4.50653
14,5,2,-4.50653
14,6,1,-4.50653
14,1,7,-3.89252
14,2,6,-3.89252
14,3,5,-3.89252
14,4,4,-3.89252
14,5,3,-3.89252
14,6,2,-3.89252
14,7,1,-3.89252
14,1,8,-3.31817
14,2,7,-3.31817
14,3,6,-3.31817
14,4,5,-3.31817
14,5,4,-3.31817
14,6,3,-3.31817
14,7,2,-3.31817
14,8,1,-3.31817
14,1,9,-2.77667
14,2,8,-2.77667
14,3,7,-2.77667
14,4,6,-2.77667
14,5,5,-2.77667
14,6,4,-2.77667
14,7,3,-2.77667
14,8,2,-2.77667
14,9,1,-2.77667
14,1,10,-2.26295
14,2,9,-2.26295
14,3,8,-2.26295
14,4,7,-2.26295
14,5,6,-2.26295
14,6,5,-2.26295
14,7,4,-2.26295
14,8,3,-2.26295
14,9,2,-2.26295
14,10,1,-2.26295
14,1,11,-1.77314
14,2,10,-1.77314
14,3,9,-1.77314
14,4,8,-1.77314
14,5,7,-1.77314
14,6,6,-1.77314
14,7,5,-1.77314
14,8,4,-1.77314
14,9,3,-1.77314
14,10,2,-1.77314
14,11,1,-1.77314
14,1,12,-1.30418
14,2,11,-1.30418
14,3,10,-1.30418
14,4,9,-1.30418
14,5,8,-1.30418
14,6,7,-1.30418
14,7,6,-1.30418
